Year	Title	English Title	Director(s)	Duration	Prize	IMDb Link
1929	Wings	Wings	William A. Wellman, Harry d'Abbadie d'Arrast	2 h 24 min	Oscar	https://www.imdb.com/title/tt0018578/
1930	The Broadway Melody	The Broadway Melody	Harry Beaumont	1 h 40 min	Oscar	https://www.imdb.com/title/tt0019729/
1931	All Quiet on the Western Front	All Quiet on the Western Front	Lewis Milestone	2 h 32 min	Oscar	https://www.imdb.com/title/tt0020629/
1932	Cimarron	Cimarron	Wesley Ruggles	2 h 03 min	Oscar	https://www.imdb.com/title/tt0021746/
1933	Grand Hotel	Grand Hotel	Edmund Goulding	1 h 52 min	Oscar	https://www.imdb.com/title/tt0022958/
1934	Cavalcade	Cavalcade	Frank Lloyd	1 h 50 min	Oscar	https://www.imdb.com/title/tt0023876/
1935	It Happened One Night	It Happened One Night	Frank Capra	1 h 45 min	Oscar	https://www.imdb.com/title/tt0025316/
1936	Mutiny on the Bounty	Mutiny on the Bounty	Frank Lloyd	2 h 12 min	Oscar	https://www.imdb.com/title/tt0026752/
1937	The Great Ziegfeld	The Great Ziegfeld	Robert Z. Leonard	2 h 59 min	Oscar	https://www.imdb.com/title/tt0027698/
1938	The Life of Emile Zola	The Life of Emile Zola	William Dieterle	1 h 56 min	Oscar	https://www.imdb.com/title/tt0029146/
1939	Pacific Express	Union Pacific	Cecil B. DeMille	2 h 15 min	Grand prix	https://www.imdb.com/title/tt0032080/
1939	You Can't Take It with You	You Can't Take It with You	Frank Capra	2 h 06 min	Oscar	https://www.imdb.com/title/tt0030993/
1940	Gone with the Wind	Gone with the Wind	Victor Fleming, George Cukor, Sam Wood	3 h 58 min	Oscar	https://www.imdb.com/title/tt0031381/
1941	Rebecca	Rebecca	Alfred Hitchcock	2 h 10 min	Oscar	https://www.imdb.com/title/tt0032976/
1942	How Green Was My Valley	How Green Was My Valley	John Ford	1 h 58 min	Oscar	https://www.imdb.com/title/tt0033729/
1943	Mrs. Miniver	Mrs. Miniver	William Wyler	2 h 14 min	Oscar	https://www.imdb.com/title/tt0035093/
1944	Casablanca	Casablanca	Michael Curtiz	1 h 42 min	Oscar	https://www.imdb.com/title/tt0034583/
1945	Going My Way	Going My Way	Leo McCarey	2 h 06 min	Oscar	https://www.imdb.com/title/tt0036872/
1946	Brève Rencontre	Brief Encounter	David Lean	1 h 26 min	Grand prix	https://www.imdb.com/title/tt0037558/
1946	La Dernière Chance	The Last Chance	Leopold Lindtberg	1 h 52 min	Grand prix	https://www.imdb.com/title/tt0037862/
1946	La Symphonie pastorale	Pastoral Symphony	Jean Delannoy	1 h 50 min	Grand prix	https://www.imdb.com/title/tt0038982/
1946	La terre sera rouge	The Red Meadows	Bodil Ipsen, Lau Lauritzen Jr.	1 h 25 min	Grand prix	https://www.imdb.com/title/tt0037912/
1946	La Ville basse	Neecha Nagar (Lowly City)	Chetan Anand	2 h 02 min	Grand prix	https://www.imdb.com/title/tt0038778/
1946	Le Poison	The Lost Weekend	Billy Wilder	1 h 41 min	Grand prix	https://www.imdb.com/title/tt0037884/
1946	Le Poison	The Lost Weekend	Billy Wilder	1 h 41 min	Oscar	https://www.imdb.com/title/tt0037884/
1946	Le Tournant décisif	The Turning Point	Fridrikh Ermler	1 h 50 min	Grand prix	https://www.imdb.com/title/tt0038221/
1946	Les Hommes sans ailes	Men Without Wings	Frantisek Cáp	1 h 27 min	Grand prix	https://www.imdb.com/title/tt0038764/
1946	María Candelaria	María Candelaria (Xochimilco)	Emilio Fernández	1 h 40 min	Grand prix	https://www.imdb.com/title/tt0036154/
1946	Rome, ville ouverte	Rome, Open City	Roberto Rossellini	1 h 43 min	Grand prix	https://www.imdb.com/title/tt0038890/
1946	Tourments	Torment	Alf Sjöberg	1 h 41 min	Grand prix	https://www.imdb.com/title/tt0036931/
1947	Antoine et Antoinette	Antoine and Antoinette	Jacques Becker	1 h 28 min	Grand prix	https://www.imdb.com/title/tt0039161/
1947	Dumbo	Dumbo	Samuel Armstrong, Norman Ferguson, et al.	1 h 04 min	Grand prix	https://www.imdb.com/title/tt0033563/
1947	Feux croisés	Crossfire	Edward Dmytryk	1 h 26 min	Grand prix	https://www.imdb.com/title/tt0039286/
1947	Les Maudits	The Damned	René Clément	1 h 45 min	Grand prix	https://www.imdb.com/title/tt0039611/
1947	The Best Years of Our Lives	The Best Years of Our Lives	William Wyler	2 h 50 min	Oscar	https://www.imdb.com/title/tt0036868/
1947	Ziegfeld Follies	Ziegfeld Follies	Lemuel Ayers, Roy Del Ruth, et al.	1 h 50 min	Grand prix	https://www.imdb.com/title/tt0039116/
1948	Gentleman's Agreement	Gentleman's Agreement	Elia Kazan	1 h 58 min	Oscar	https://www.imdb.com/title/tt0039416/
1949	Hamlet	Hamlet	Laurence Olivier	2 h 35 min	Oscar	https://www.imdb.com/title/tt0040416/
1949	Le Troisième Homme	The Third Man	Carol Reed	1 h 44 min	Grand prix	https://www.imdb.com/title/tt0041959/
1950	All the King's Men	All the King's Men	Robert Rossen	1 h 50 min	Oscar	https://www.imdb.com/title/tt0041113/
1951	All About Eve	All About Eve	Joseph L. Mankiewicz	2 h 18 min	Oscar	https://www.imdb.com/title/tt0042192/
1951	Mademoiselle Julie	Miss Julie	Alf Sjöberg	1 h 30 min	Grand prix	https://www.imdb.com/title/tt0043567/
1951	Miracle à Milan	Miracle in Milan	Vittorio De Sica	1 h 41 min	Grand prix	https://www.imdb.com/title/tt0043809/
1952	An American in Paris	An American in Paris	Vincente Minnelli	1 h 53 min	Oscar	https://www.imdb.com/title/tt0043278/
1952	Deux Sous d'espoir	Two Cents Worth of Hope	Renato Castellani	1 h 50 min	Grand prix	https://www.imdb.com/title/tt0044568/
1952	Othello	The Tragedy of Othello: The Moor of Venice	Orson Welles	1 h 33 min	Grand prix	https://www.imdb.com/title/tt0045205/
1953	Le Salaire de la peur	The Wages of Fear	Henri-Georges Clouzot	2 h 31 min	Grand prix	https://www.imdb.com/title/tt0046268/
1953	The Greatest Show on Earth	The Greatest Show on Earth	Cecil B. DeMille	2 h 32 min	Oscar	https://www.imdb.com/title/tt0044672/
1954	From Here to Eternity	From Here to Eternity	Fred Zinnemann	1 h 58 min	Oscar	https://www.imdb.com/title/tt0045793/
1954	La Porte de l'enfer	Gate of Hell	Teinosuke Kinugasa	1 h 29 min	Grand prix	https://www.imdb.com/title/tt0045935/
1955	Marty	Marty	Delbert Mann	1 h 30 min	Oscar	https://www.imdb.com/title/tt0048356/
1955	Marty	Marty	Delbert Mann	1 h 30 min	Palme	https://www.imdb.com/title/tt0048356/
1955	On the Waterfront	On the Waterfront	Elia Kazan	1 h 48 min	Oscar	https://www.imdb.com/title/tt0047296/
1956	Le Monde du silence	The Silent World	Jacques-Yves Cousteau, Louis Malle	1 h 26 min	Palme	https://www.imdb.com/title/tt0049518/
1957	Around the World in 80 Days	Around the World in 80 Days	Michael Anderson	3 h 01 min	Oscar	https://www.imdb.com/title/tt0048960/
1957	La Loi du Seigneur	Friendly Persuasion	William Wyler	2 h 17 min	Palme	https://www.imdb.com/title/tt0049233/
1958	Quand passent les cigognes	The Cranes Are Flying	Mikhail Kalatozov	1 h 35 min	Palme	https://www.imdb.com/title/tt0050634/
1958	The Bridge on the River Kwai	The Bridge on the River Kwai	David Lean	2 h 41 min	Oscar	https://www.imdb.com/title/tt0050212/
1959	Gigi	Gigi	Vincente Minnelli	1 h 55 min	Oscar	https://www.imdb.com/title/tt0051658/
1959	Orfeu Negro	Black Orpheus	Marcel Camus	1 h 47 min	Palme	https://www.imdb.com/title/tt0053146/
1960	Ben-Hur	Ben-Hur	William Wyler	3 h 32 min	Oscar	https://www.imdb.com/title/tt0052618/
1960	La dolce vita	La Dolce Vita (The Sweet Life)	Federico Fellini	2 h 54 min	Palme	https://www.imdb.com/title/tt0053779/
1961	The Apartment	The Apartment	Billy Wilder	2 h 05 min	Oscar	https://www.imdb.com/title/tt0053604/
1961	Une aussi longue absence	The Long Absence	Henri Colpi	1 h 38 min	Palme	https://www.imdb.com/title/tt0054418/
1961	Viridiana	Viridiana	Luis Buñuel	1 h 30 min	Palme	https://www.imdb.com/title/tt0055601/
1962	La Parole donnée	The Given Word (Keeper of Promises)	Anselmo Duarte	1 h 38 min	Palme	https://www.imdb.com/title/tt0056322/
1962	West Side Story	West Side Story	Jerome Robbins, Robert Wise	2 h 33 min	Oscar	https://www.imdb.com/title/tt0055614/
1963	Lawrence of Arabia	Lawrence of Arabia	David Lean	3 h 36 min	Oscar	https://www.imdb.com/title/tt0056172/
1963	Le Guépard	The Leopard	Luchino Visconti	3 h 05 min	Palme	https://www.imdb.com/title/tt0057091/
1964	Les Parapluies de Cherbourg	The Umbrellas of Cherbourg	Jacques Demy	1 h 31 min	Palme	https://www.imdb.com/title/tt0058450/
1964	Tom Jones	Tom Jones	Tony Richardson	2 h 09 min	Oscar	https://www.imdb.com/title/tt0057590/
1965	Le Knack... et comment l'avoir	The Knack ...and How to Get It	Richard Lester	1 h 24 min	Palme	https://www.imdb.com/title/tt0059368/
1965	My Fair Lady	My Fair Lady	George Cukor	2 h 50 min	Oscar	https://www.imdb.com/title/tt0058385/
1966	Ces messieurs dames	The Birds, the Bees and the Italians	Pietro Germi	1 h 55 min	Palme	https://www.imdb.com/title/tt0062274/
1966	The Sound of Music	The Sound of Music	Robert Wise	2 h 54 min	Oscar	https://www.imdb.com/title/tt0059742/
1966	Un homme et une femme	A Man and a Woman	Claude Lelouch	1 h 42 min	Palme	https://www.imdb.com/title/tt0061138/
1967	A Man for All Seasons	A Man for All Seasons	Fred Zinnemann	2 h 00 min	Oscar	https://www.imdb.com/title/tt0060665/
1967	Blow-Up	Blow-Up	Michelangelo Antonioni	1 h 51 min	Palme	https://www.imdb.com/title/tt0060176/
1968	In the Heat of the Night	In the Heat of the Night	Norman Jewison	1 h 50 min	Oscar	https://www.imdb.com/title/tt0061811/
1969	If....	If....	Lindsay Anderson	1 h 51 min	Palme	https://www.imdb.com/title/tt0063850/
1969	Oliver!	Oliver!	Carol Reed	2 h 33 min	Oscar	https://www.imdb.com/title/tt0063385/
1970	MASH	MAS*H	Robert Altman	1 h 56 min	Palme	https://www.imdb.com/title/tt0066026/
1970	Midnight Cowboy	Midnight Cowboy	John Schlesinger	1 h 53 min	Oscar	https://www.imdb.com/title/tt0064665/
1971	Le Messager	The Go-Between	Joseph Losey	1 h 56 min	Palme	https://www.imdb.com/title/tt0067144/
1971	Patton	Patton	Franklin J. Schaffner	2 h 52 min	Oscar	https://www.imdb.com/title/tt0066206/
1972	L'Affaire Mattei	The Mattei Affair	Francesco Rosi	1 h 56 min	Palme	https://www.imdb.com/title/tt0069861/
1972	La classe ouvrière va au paradis	The Working Class Goes to Heaven	Elio Petri	2 h 05 min	Palme	https://www.imdb.com/title/tt0067790/
1972	The French Connection	The French Connection	William Friedkin	1 h 44 min	Oscar	https://www.imdb.com/title/tt0067116/
1973	L'Épouvantail	Scarecrow	Jerry Schatzberg	1 h 52 min	Palme	https://www.imdb.com/title/tt0070643/
1973	La Méprise	The Hireling	Alan Bridges	1 h 48 min	Palme	https://www.imdb.com/title/tt0070185/
1973	The Godfather	The Godfather	Francis Ford Coppola	2 h 55 min	Oscar	https://www.imdb.com/title/tt0068646/
1974	Conversation secrète	The Conversation	Francis Ford Coppola	1 h 53 min	Palme	https://www.imdb.com/title/tt0071360/
1974	The Sting	The Sting	George Roy Hill	2 h 09 min	Oscar	https://www.imdb.com/title/tt0070735/
1975	Chronique des années de braise	Chronicle of the Years of Fire	Mohammed Lakhdar-Hamina	2 h 57 min	Palme	https://www.imdb.com/title/tt0072782/
1975	The Godfather Part II	The Godfather Part II	Francis Ford Coppola	3 h 22 min	Oscar	https://www.imdb.com/title/tt0071562/
1976	Le Vieux Fusil	The Old Gun	Robert Enrico	1 h 42 min	Cesar	https://www.imdb.com/title/tt0073864/
1976	One Flew over the Cuckoo's Nest	One Flew over the Cuckoo's Nest	Milos Forman	2 h 13 min	Oscar	https://www.imdb.com/title/tt0073486/
1976	Taxi Driver	Taxi Driver	Martin Scorsese	1 h 54 min	Palme	https://www.imdb.com/title/tt0075314/
1977	Monsieur Klein	Mr. Klein	Joseph Losey	2 h 03 min	Cesar	https://www.imdb.com/title/tt0074916/
1977	Padre padrone	Padre Padrone (Father and Master)	Paolo Taviani, Vittorio Taviani	1 h 54 min	Palme	https://www.imdb.com/title/tt0076517/
1977	Rocky	Rocky	John G. Avildsen	2 h 00 min	Oscar	https://www.imdb.com/title/tt0075148/
1978	Annie Hall	Annie Hall	Woody Allen	1 h 33 min	Oscar	https://www.imdb.com/title/tt0075686/
1978	L'Arbre aux sabots	The Tree of Wooden Clogs	Ermanno Olmi	3 h 06 min	Palme	https://www.imdb.com/title/tt0077138/
1978	Providence	Providence	Alain Resnais	1 h 50 min	Cesar	https://www.imdb.com/title/tt0076574/
1979	Apocalypse Now	Apocalypse Now	Francis Ford Coppola	2 h 27 min	Palme	https://www.imdb.com/title/tt0078788/
1979	L'Argent des autres	The Money of Others	Christian de Chalonge	1 h 45 min	Cesar	https://www.imdb.com/title/tt0077187/
1979	Le Tambour	The Tin Drum	Volker Schlöndorff	2 h 22 min	Palme	https://www.imdb.com/title/tt0078875/
1979	The Deer Hunter	The Deer Hunter	Michael Cimino	3 h 03 min	Oscar	https://www.imdb.com/title/tt0077416/
1980	Kagemusha, l'Ombre du guerrier	Kagemusha (The Shadow Warrior)	Akira Kurosawa	3 h 00 min	Palme	https://www.imdb.com/title/tt0080979/
1980	Kramer vs. Kramer	Kramer vs. Kramer	Robert Benton	1 h 45 min	Oscar	https://www.imdb.com/title/tt0079417/
1980	Que le spectacle commence	All That Jazz	Bob Fosse	2 h 03 min	Palme	https://www.imdb.com/title/tt0078754/
1980	Tess	Tess	Roman Polanski	2 h 51 min	Cesar	https://www.imdb.com/title/tt0080009/
1981	Le Dernier Métro	The Last Metro	François Truffaut	2 h 11 min	Cesar	https://www.imdb.com/title/tt0080610/
1981	L'Homme de fer	Man of Iron	Andrzej Wajda	2 h 33 min	Palme	https://www.imdb.com/title/tt0082215/
1981	Ordinary People	Ordinary People	Robert Redford	2 h 04 min	Oscar	https://www.imdb.com/title/tt0081283/
1982	Chariots of Fire	Chariots of Fire	Hugh Hudson	2 h 05 min	Oscar	https://www.imdb.com/title/tt0082158/
1982	La Guerre du feu	Quest for Fire	Jean-Jacques Annaud	1 h 40 min	Cesar	https://www.imdb.com/title/tt0082484/
1982	Missing	Missing	Costa-Gavras	2 h 02 min	Palme	https://www.imdb.com/title/tt0084335/
1982	Yol, la permission	Yol (The Way)	Serif Gören, Yilmaz Güney	1 h 53 min	Palme	https://www.imdb.com/title/tt0084934/
1983	Gandhi	Gandhi	Richard Attenborough	3 h 11 min	Oscar	https://www.imdb.com/title/tt0083987/
1983	La Balance	The Balance	Bob Swaim	1 h 42 min	Cesar	https://www.imdb.com/title/tt0083608/
1983	La Ballade de Narayama	The Ballad of Narayama	Shôhei Imamura	2 h 10 min	Palme	https://www.imdb.com/title/tt0084390/
1984	À nos amours	To Our Loves	Maurice Pialat	1 h 42 min	Cesar	https://www.imdb.com/title/tt0085117/
