Year	Title	English Title	Director(s)	Duration	Prize	IMDb Link
1984	Paris, Texas	Paris, Texas	Wim Wenders	2 h 25 min	Palme	https://www.imdb.com/title/tt0087884/
1984	Terms of Endearment	Terms of Endearment	James L. Brooks	2 h 12 min	Oscar	https://www.imdb.com/title/tt0086425/
1985	Amadeus	Amadeus	Milos Forman	2 h 40 min	Oscar	https://www.imdb.com/title/tt0086879/
1985	Les Ripoux	My New Partner	Claude Zidi	1 h 47 min	Cesar	https://www.imdb.com/title/tt0087991/
1985	Papa est en voyage d'affaires	When Father Was Away on Business	Emir Kusturica	2 h 16 min	Palme	https://www.imdb.com/title/tt0089748/
1986	Mission	The Mission	Roland Joffé	2 h 05 min	Palme	https://www.imdb.com/title/tt0091530/
1986	Out of Africa	Out of Africa	Sydney Pollack	2 h 41 min	Oscar	https://www.imdb.com/title/tt0089755/
1986	Trois Hommes et un couffin	Three Men and a Cradle	Coline Serreau	1 h 46 min	Cesar	https://www.imdb.com/title/tt0090213/
1987	Platoon	Platoon	Oliver Stone	2 h 00 min	Oscar	https://www.imdb.com/title/tt0091763/
1987	Sous le soleil de Satan	Under the Sun of Satan	Maurice Pialat	1 h 37 min	Palme	https://www.imdb.com/title/tt0094011/
1987	Thérèse	Thérèse	Alain Cavalier	1 h 36 min	Cesar	https://www.imdb.com/title/tt0092073/
1988	Au revoir les enfants	Au Revoir les Enfants (Goodbye, Children)	Louis Malle	1 h 44 min	Cesar	https://www.imdb.com/title/tt0092593/
1988	Pelle le Conquérant	Pelle the Conqueror	Bille August	2 h 30 min	Palme	https://www.imdb.com/title/tt0093713/
1988	The Last Emperor	The Last Emperor	Bernardo Bertolucci	2 h 43 min	Oscar	https://www.imdb.com/title/tt0093389/
1989	Camille Claudel	Camille Claudel	Bruno Nuytten	2 h 55 min	Cesar	https://www.imdb.com/title/tt0094828/
1989	Rain Man	Rain Man	Barry Levinson	2 h 13 min	Oscar	https://www.imdb.com/title/tt0095953/
1989	Sexe, Mensonges et Vidéo	Sex, Lies, and Videotape	Steven Soderbergh	1 h 40 min	Palme	https://www.imdb.com/title/tt0098724/
1990	Driving Miss Daisy	Driving Miss Daisy	Bruce Beresford	1 h 39 min	Oscar	https://www.imdb.com/title/tt0097239/
1990	Sailor et Lula	Wild at Heart	David Lynch	2 h 05 min	Palme	https://www.imdb.com/title/tt0100935/
1990	Trop belle pour toi	Too Beautiful for You	Bertrand Blier	1 h 31 min	Cesar	https://www.imdb.com/title/tt0098518/
1991	Barton Fink	Barton Fink	Joel Coen, Ethan Coen	1 h 56 min	Palme	https://www.imdb.com/title/tt0101410/
1991	Cyrano de Bergerac	Cyrano de Bergerac	Jean-Paul Rappeneau	2 h 17 min	Cesar	https://www.imdb.com/title/tt0099334/
1991	Dances With Wolves	Dances With Wolves	Kevin Costner	3 h 01 min	Oscar	https://www.imdb.com/title/tt0099348/
1992	Les Meilleures Intentions	The Best Intentions	Bille August	3 h 02 min	Palme	https://www.imdb.com/title/tt0104340/
1992	The Silence of the Lambs	The Silence of the Lambs	Jonathan Demme	1 h 58 min	Oscar	https://www.imdb.com/title/tt0102926/
1992	Tous les matins du monde	All the Mornings of the World	Alain Corneau	1 h 55 min	Cesar	https://www.imdb.com/title/tt0103107/
1993	Adieu ma concubine	Farewell My Concubine	Kaige Chen	2 h 51 min	Palme	https://www.imdb.com/title/tt0106332/
1993	La Leçon de piano	The Piano	Jane Campion	2 h 01 min	Palme	https://www.imdb.com/title/tt0107822/
1993	Les Nuits fauves	Savage Nights	Cyril Collard	2 h 06 min	Cesar	https://www.imdb.com/title/tt0105029/
1993	Unforgiven	Unforgiven	Clint Eastwood	2 h 11 min	Oscar	https://www.imdb.com/title/tt0105695/
1994	Pulp Fiction	Pulp Fiction	Quentin Tarantino	2 h 34 min	Palme	https://www.imdb.com/title/tt0110912/
1994	Schindler’s List	Schindler's List	Steven Spielberg	3 h 15 min	Oscar	https://www.imdb.com/title/tt0108052/
1994	Smoking / No Smoking	Smoking / No Smoking	Alain Resnais	2h 25m / 2h 22m	Cesar	https://www.imdb.com/title/tt0108180/ https://www.imdb.com/title/tt0107702/
1995	Forrest Gump	Forrest Gump	Robert Zemeckis	2 h 22 min	Oscar	https://www.imdb.com/title/tt0109830/
1995	Les Roseaux sauvages	Wild Reeds	André Téchiné	1 h 50 min	Cesar	https://www.imdb.com/title/tt0110993/
1995	Underground	Underground	Emir Kusturica	2 h 47 min	Palme	https://www.imdb.com/title/tt0114787/
1996	Braveheart	Braveheart	Mel Gibson	2 h 58 min	Oscar	https://www.imdb.com/title/tt0112573/
1996	La Haine	La Haine (Hate)	Mathieu Kassovitz	1 h 38 min	Cesar	https://www.imdb.com/title/tt0113247/
1996	Secrets et Mensonges	Secrets & Lies	Mike Leigh	2 h 16 min	Palme	https://www.imdb.com/title/tt0117589/
1997	L'Anguille	The Eel	Shôhei Imamura	1 h 57 min	Palme	https://www.imdb.com/title/tt0120408/
1997	Le Goût de la cerise	Taste of Cherry	Abbas Kiarostami	1 h 35 min	Palme	https://www.imdb.com/title/tt0120265/
1997	Ridicule	Ridicule	Patrice Leconte	1 h 42 min	Cesar	https://www.imdb.com/title/tt0117477/
1997	The English Patient	The English Patient	Anthony Minghella	2 h 42 min	Oscar	https://www.imdb.com/title/tt0116209/
1998	L'Éternité et Un Jour	Eternity and a Day	Theodoros Angelopoulos	2 h 17 min	Palme	https://www.imdb.com/title/tt0156794/
1998	On connaît la chanson	Same Old Song	Alain Resnais	2 h 00 min	Cesar	https://www.imdb.com/title/tt0119828/
1998	Titanic	Titanic	James Cameron	3 h 14 min	Oscar	https://www.imdb.com/title/tt0120338/
1999	La Vie rêvée des anges	The Dreamlife of Angels	Erick Zonca	1 h 53 min	Cesar	https://www.imdb.com/title/tt0154243/
1999	Rosetta	Rosetta	Jean-Pierre Dardenne, Luc Dardenne	1 h 35 min	Palme	https://www.imdb.com/title/tt0200071/
1999	Shakespeare in Love	Shakespeare in Love	John Madden	2 h 03 min	Oscar	https://www.imdb.com/title/tt0138097/
2000	American Beauty	American Beauty	Sam Mendes	2 h 02 min	Oscar	https://www.imdb.com/title/tt0169547/
2000	Dancer in the Dark	Dancer in the Dark	Lars von Trier	2 h 20 min	Palme	https://www.imdb.com/title/tt0168629/
2000	Vénus Beauté (Institut)	Venus Beauty Institute	Tonie Marshall	1 h 45 min	Cesar	https://www.imdb.com/title/tt0170272/
2001	Gladiator	Gladiator	Ridley Scott	2 h 35 min	Oscar	https://www.imdb.com/title/tt0172495/
2001	La Chambre du fils	The Son's Room	Nanni Moretti	1 h 39 min	Palme	https://www.imdb.com/title/tt0278266/
2001	Le Goût des autres	The Taste of Others	Agnès Jaoui	1 h 52 min	Cesar	https://www.imdb.com/title/tt0216787/
2002	A Beautiful Mind	A Beautiful Mind	Ron Howard	2 h 15 min	Oscar	https://www.imdb.com/title/tt0268978/
2002	Le Fabuleux Destin d'Amélie Poulain	Amélie	Jean-Pierre Jeunet	2 h 02 min	Cesar	https://www.imdb.com/title/tt0211915/
2002	Le Pianiste	The Pianist	Roman Polanski	2 h 30 min	Palme	https://www.imdb.com/title/tt0253474/
2003	Chicago	Chicago	Rob Marshall	1 h 53 min	Oscar	https://www.imdb.com/title/tt0299658/
2003	Elephant	Elephant	Gus Van Sant	1 h 21 min	Palme	https://www.imdb.com/title/tt0363589/
2003	Le Pianiste	The Pianist	Roman Polanski	2 h 30 min	Cesar	https://www.imdb.com/title/tt0253474/
2003	Le Pianiste	The Pianist	Roman Polanski	2 h 30 min	Oscar	https://www.imdb.com/title/tt0253474/
2004	Fahrenheit 9/11	Fahrenheit 9/11	Michael Moore	2 h 02 min	Palme	https://www.imdb.com/title/tt0361596/
2004	Les Invasions barbares	The Barbarian Invasions	Denys Arcand	1 h 39 min	Cesar	https://www.imdb.com/title/tt0338135/
2004	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	Peter Jackson	3 h 21 min	Oscar	https://www.imdb.com/title/tt0167260/
2005	Crash	Crash	Paul Haggis	1 h 52 min	Oscar	https://www.imdb.com/title/tt0375679/
2005	L'Enfant	The Child	Jean-Pierre Dardenne, Luc Dardenne	1 h 35 min	Palme	https://www.imdb.com/title/tt0456396/
2005	L'Esquive	Games of Love and Chance	Abdellatif Kechiche	1 h 57 min	Cesar	https://www.imdb.com/title/tt0340540/
2005	Million Dollar Baby	Million Dollar Baby	Clint Eastwood	2 h 12 min	Oscar	https://www.imdb.com/title/tt0405159/
2006	De battre mon cœur s'est arrêté	The Beat That My Heart Skipped	Jacques Audiard	1 h 48 min	Cesar	https://www.imdb.com/title/tt0411270/
2006	Le vent se lève	The Wind That Shakes the Barley	Ken Loach	2 h 07 min	Palme	https://www.imdb.com/title/tt0460989/
2007	Lady Chatterley	Lady Chatterley	Pascale Ferran	2 h 48 min	Cesar	https://www.imdb.com/title/tt0458543/
2007	Quatre mois, trois semaines, deux jours	4 Months, 3 Weeks and 2 Days	Cristian Mungiu	1 h 53 min	Palme	https://www.imdb.com/title/tt1032846/
2007	The Departed	The Departed	Martin Scorsese	2 h 31 min	Oscar	https://www.imdb.com/title/tt0407887/
2008	Entre les murs	The Class	Laurent Cantet	2 h 08 min	Palme	https://www.imdb.com/title/tt1068646/
2008	La Graine et le Mulet	The Secret of the Grain	Abdellatif Kechiche	2 h 31 min	Cesar	https://www.imdb.com/title/tt0477417/
2008	No Country for Old Men	No Country for Old Men	Ethan Coen, Joel Coen	2 h 02 min	Oscar	https://www.imdb.com/title/tt0477348/
2009	Le Ruban blanc	The White Ribbon	Michael Haneke	2 h 24 min	Palme	https://www.imdb.com/title/tt1149362/
2009	Séraphine	Séraphine	Martin Provost	2 h 05 min	Cesar	https://www.imdb.com/title/tt1048171/
2009	Slumdog Millionaire	Slumdog Millionaire	Danny Boyle, Loveleen Tandan	2 h 00 min	Oscar	https://www.imdb.com/title/tt1010048/
2010	Oncle Boonmee, celui qui se souvient de ses vies antérieures	Uncle Boonmee Who Can Recall His Past Lives	Apichatpong Weerasethakul	1 h 54 min	Palme	https://www.imdb.com/title/tt1588895/
2010	The Hurt Locker	The Hurt Locker	Kathryn Bigelow	2 h 11 min	Oscar	https://www.imdb.com/title/tt0887912/
2010	Un prophète	A Prophet	Jacques Audiard	2 h 35 min	Cesar	https://www.imdb.com/title/tt1235166/
2011	Des hommes et des dieux	Of Gods and Men	Xavier Beauvois	2 h 02 min	Cesar	https://www.imdb.com/title/tt1588337/
2011	The King's Speech	The King's Speech	Tom Hooper	1 h 58 min	Oscar	https://www.imdb.com/title/tt1504320/
2011	The Tree of Life	The Tree of Life	Terrence Malick	2 h 19 min	Palme	https://www.imdb.com/title/tt0478304/
2012	Amour	Amour	Michael Haneke	2 h 07 min	Cesar	https://www.imdb.com/title/tt1602620/
2012	Amour	Amour	Michael Haneke	2 h 07 min	Oscar	https://www.imdb.com/title/tt1602620/
2012	Amour	Amour	Michael Haneke	2 h 07 min	Palme	https://www.imdb.com/title/tt1602620/
2012	The Artist	The Artist	Michel Hazanavicius	1 h 40 min	Cesar	https://www.imdb.com/title/tt1655442/
2012	The Artist	The Artist	Michel Hazanavicius	1 h 40 min	Oscar	https://www.imdb.com/title/tt1655442/
2013	Argo	Argo	Ben Affleck	2 h 00 min	Oscar	https://www.imdb.com/title/tt1024648/
2013	La Vie d'Adèle	Blue Is the Warmest Colour	Abdellatif Kechiche	3 h 00 min	Palme	https://www.imdb.com/title/tt2278871/
2014	12 Years a Slave	12 Years a Slave	Steve McQueen	2 h 14 min	Oscar	https://www.imdb.com/title/tt2024544/
2014	Les Garçons et Guillaume, à table !	Me, Myself and Mum	Guillaume Gallienne	1 h 25 min	Cesar	https://www.imdb.com/title/tt2315200/
2014	Winter Sleep	Winter Sleep	Nuri Bilge Ceylan	3 h 16 min	Palme	https://www.imdb.com/title/tt1885001/
2015	Birdman	Birdman or (The Unexpected Virtue of Ignorance)	Alejandro G. Iñárritu	1 h 59 min	Oscar	https://www.imdb.com/title/tt2562232/
2015	Dheepan	Dheepan	Jacques Audiard	1 h 55 min	Palme	https://www.imdb.com/title/tt4082068/
2015	Timbuktu	Timbuktu	Abderrahmane Sissako	1 h 37 min	Cesar	https://www.imdb.com/title/tt3409392/
2016	Fatima	Fatima	Philippe Faucon	1 h 19 min	Cesar	https://www.imdb.com/title/tt4466544/
2016	Moi, Daniel Blake	I, Daniel Blake	Ken Loach	1 h 40 min	Palme	https://www.imdb.com/title/tt5168192/
2016	Spotlight	Spotlight	Tom McCarthy	2 h 09 min	Oscar	https://www.imdb.com/title/tt1895587/
2017	Elle	Elle	Paul Verhoeven	2 h 10 min	Cesar	https://www.imdb.com/title/tt3716530/
2017	Moonlight	Moonlight	Barry Jenkins	1 h 51 min	Oscar	https://www.imdb.com/title/tt4975722/
2017	The Square	The Square	Ruben Östlund	2 h 31 min	Palme	https://www.imdb.com/title/tt4995790/
2018	120 Battements par minute	BPM (Beats Per Minute)	Robin Campillo	2 h 23 min	Cesar	https://www.imdb.com/title/tt6135348/
2018	Le Livre d'image	The Image Book	Jean-Luc Godard	1 h 24 min	Palme	https://www.imdb.com/title/tt6896648/
2018	The Shape of Water	The Shape of Water	Guillermo del Toro	2 h 03 min	Oscar	https://www.imdb.com/title/tt5580390/
2018	Une affaire de famille	Shoplifters	Hirokazu Kore-eda	2 h 01 min	Palme	https://www.imdb.com/title/tt8075192/
2019	Green Book	Green Book	Peter Farrelly	2 h 10 min	Oscar	https://www.imdb.com/title/tt6966692/
2019	Jusqu'à la garde	Custody	Xavier Legrand	1 h 33 min	Cesar	https://www.imdb.com/title/tt6002232/
2019	Parasite	Parasite	Bong Joon Ho	2 h 12 min	Palme	https://www.imdb.com/title/tt6751668/
2020	Les Misérables	Les Misérables	Ladj Ly	1 h 44 min	Cesar	https://www.imdb.com/title/tt10199590/
2020	Parasite	Parasite	Bong Joon Ho	2 h 12 min	Oscar	https://www.imdb.com/title/tt6751668/
2021	Adieu les cons	Bye Bye Morons	Albert Dupontel	1 h 27 min	Cesar	https://www.imdb.com/title/tt11094600/
2021	Nomadland	Nomadland	Chloé Zhao	1 h 47 min	Oscar	https://www.imdb.com/title/tt9770150/
2021	Titane	Titane	Julia Ducournau	1 h 48 min	Palme	https://www.imdb.com/title/tt10944760/
2022	CODA	CODA	Sian Heder	1 h 51 min	Oscar	https://www.imdb.com/title/tt10366460/
2022	Illusions perdues	Lost Illusions	Xavier Giannoli	2 h 29 min	Cesar	https://www.imdb.com/title/tt10440134/
2022	Sans filtre	Triangle of Sadness	Ruben Östlund	2 h 27 min	Palme	https://www.imdb.com/title/tt7322224/
2023	Anatomie d'une chute	Anatomy of a Fall	Justine Triet	2 h 32 min	Palme	https://www.imdb.com/title/tt17009710/
2023	Everything Everywhere All at Once	Everything Everywhere All at Once	Daniel Kwan, Daniel Scheinert	2 h 19 min	Oscar	https://www.imdb.com/title/tt6710474/
2023	La Nuit du 12	The Night of the 12th	Dominik Moll	1 h 54 min	Cesar	https://www.imdb.com/title/tt16842188/
2024	Anatomie d'une chute	Anatomy of a Fall	Justine Triet	2 h 32 min	Cesar	https://www.imdb.com/title/tt17009710/
2024	Anora	Anora	Sean Baker	2 h 18 min	Palme	https://www.imdb.com/title/tt28102111/
2024	Oppenheimer	Oppenheimer	Christopher Nolan	3 h 00 min	Oscar	https://www.imdb.com/title/tt15398776/
2025	Anora	Anora	Sean Baker	2 h 18 min	Oscar	https://www.imdb.com/title/tt28102111/
